"Year","Month","Class","Type","Longitude","Latitude","Time.Range","Time"
"2017",10,1,"Fatality",-73.9816212649851,40.7786080821697,"21-24",23
"2017",11,1,"Fatality",-73.8591287282787,40.7195436339917,"12-15",14
"2017",11,1,"Fatality",-74.0038221578165,40.7532606618304,"12-15",14
"2017",12,1,"Fatality",-73.9192133903262,40.7314723481612,"6-9",8
"2017",12,1,"Fatality",-73.9443874651314,40.7145316003967,"9-12",11
"2018",1,1,"Fatality",-73.935443871336,40.684963320021,"15-18",17
"2018",2,1,"Fatality",-73.8842585788539,40.7682770658782,"18-21",20
"2018",4,1,"Fatality",-73.9026881008849,40.8445814705398,"21-24",23
"2018",4,1,"Fatality",-73.974970006501,40.7485018487178,"18-21",20
"2018",4,1,"Fatality",-73.9596875589625,40.8137788900829,"21-24",23
"2018",5,1,"Fatality",-73.9480688027998,40.7459785302984,"12-15",14
"2018",6,1,"Fatality",-73.9052331681376,40.6760612235295,"9-12",11
"2018",7,1,"Fatality",-73.9110750745075,40.773089255357,"21-24",23
"2018",8,1,"Fatality",-73.9787224675967,40.7724188973451,"15-18",17
"2018",8,1,"Fatality",-73.9069498322519,40.7023707287953,"0-3",2
"2017",10,1,"Injury",-73.9539893871743,40.6932052723821,"12-15",14
"2017",10,1,"Injury",-73.9643135364189,40.7605992298691,"18-21",20
"2017",10,1,"Injury",-73.8841005224323,40.7538303227025,"12-15",14
"2017",10,1,"Injury",-73.9167711775193,40.8156988276101,"15-18",17
"2017",10,1,"Injury",-73.9508946965315,40.7524414872382,"12-15",14
"2017",10,1,"Injury",-73.8570493799264,40.7325124329349,"21-24",23
"2017",10,1,"Injury",-73.8638160029612,40.6876792642185,"15-18",17
"2017",10,1,"Injury",-73.8626545912484,40.8631263955698,"21-24",23
"2017",10,1,"Injury",-74.0128318459641,40.6493596977341,"15-18",17
"2017",10,1,"Injury",-73.944321466484,40.7880556589455,"6-9",8
"2017",10,1,"Injury",-73.9804279095586,40.6288783527649,"15-18",17
"2017",10,1,"Injury",-73.9795131912231,40.7611485603646,"12-15",14
"2017",10,1,"Injury",-73.8749957505279,40.7612643209492,"6-9",8
"2017",10,2,"Injury",-73.9829321679256,40.6997714744817,"15-18",17
"2017",10,1,"Injury",-73.9459460535986,40.7190271496307,"6-9",8
"2017",10,1,"Injury",-73.9135594104214,40.6784273989437,"15-18",17
"2017",10,1,"Injury",-73.9615520978929,40.6030069383964,"18-21",20
"2017",10,1,"Injury",-73.9963272011905,40.7175961628941,"12-15",14
"2017",10,1,"Injury",-73.9252739629767,40.6981605194004,"12-15",14
"2017",10,1,"Injury",-73.8685761695177,40.8588279101159,"12-15",14
"2017",10,1,"Injury",-73.8615423971684,40.8661536220611,"18-21",20
"2017",10,1,"Injury",-73.8376948331802,40.7186484635141,"18-21",20
"2017",10,1,"Injury",-73.9888092414128,40.6661695167998,"21-24",23
"2017",10,1,"Injury",-73.8746086795506,40.8295029042505,"6-9",8
"2017",10,1,"Injury",-73.9450961470745,40.796763482261,"6-9",8
"2017",10,1,"Injury",-74.0260396046738,40.6357411883433,"18-21",20
"2017",10,1,"Injury",-73.9127378426523,40.8618638848187,"21-24",23
"2017",10,1,"Injury",-73.942416558388,40.6185926973852,"15-18",17
"2017",10,1,"Injury",-73.9077940553393,40.7605177984147,"3-6",5
"2017",10,1,"Injury",-73.7865289105416,40.6851110103744,"15-18",17
"2017",10,2,"Injury",-73.9394269559239,40.6692486835317,"12-15",14
"2017",10,1,"Injury",-73.9519018809814,40.6920623170705,"6-9",8
"2017",10,1,"Injury",-73.9892972755891,40.7579066361149,"21-24",23
"2017",10,1,"Injury",-73.9565811725217,40.6967845387207,"3-6",5
"2017",10,1,"Injury",-73.9472444388147,40.7113244703912,"15-18",17
"2017",10,1,"Injury",-73.9253351774803,40.7052527313888,"21-24",23
"2017",10,1,"Injury",-73.9547302481162,40.6447725774463,"15-18",17
"2017",10,1,"Injury",-73.9771968862702,40.7643236906276,"12-15",14
